open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,take_buy_base_asset_volume,take_buy_quote_asset_volume,ignore
1611475200000,32797.21,33030.0,32465.0,32833.37,7600.854471,1611489599999,248581606.55130464,233158,3854.255226,126065991.52836135,0.0
1611489600000,32833.37,32931.59,31858.68,31957.05,9939.326135,1611503999999,320880586.28006065,275946,4469.297191,144284092.73618394,0.0
1611504000000,31956.9,32139.6,30900.0,31306.29,12601.921095,1611518399999,398056185.6603564,316485,5424.025015,171487278.15897787,0.0
1611518400000,31306.29,32369.59,31250.26,32259.9,8934.194873,1611532799999,284412074.26939464,256292,4484.599508,142842269.42428032,0.0
1611532800000,32259.45,33674.48,32175.61,33568.18,14446.517628,1611547199999,474065370.63612616,317639,7739.309876,253992353.9633052,0.0
1611547200000,33568.17,33797.96,33045.0,33346.95,11224.751779,1611561599999,374695219.17351353,252965,5562.920617,185692274.75802746,0.0
1611561600000,33347.19,33548.0,32750.09,33185.26,11388.310393,1611575999999,377726299.17118716,291373,5972.845559,198112802.24017745,0.0
1611576000000,33185.25,34875.0,33050.0,34458.31,21109.742365,1611590399999,723662017.0605494,512701,11498.069858,393937779.392313,0.0
1611590400000,34458.31,34600.0,33373.92,33411.54,14607.087725,1611604799999,494959147.3472232,353956,6951.255716,235661777.10890725,0.0
1611604800000,33411.54,33473.92,31910.0,32254.2,15722.817031,1611619199999,513651235.17496884,377914,6765.122506,221035047.02969104,0.0
1611619200000,32254.19,32827.33,31458.0,31518.66,13175.066372,1611633599999,424315585.82699865,320175,6120.52603,197268934.41879696,0.0
1611633600000,31520.25,32312.46,31100.0,31643.61,16200.732868,1611647999999,513011285.19445086,318472,8161.754893,258505944.11503187,0.0
1611648000000,31643.61,32450.0,31373.0,31796.95,13170.891552,1611662399999,420251995.9922582,349802,6930.853571,221169697.15080136,0.0
1611662400000,31798.65,31972.73,30837.37,31750.23,17666.57223,1611676799999,555608675.7924834,397843,7782.235276,245019142.94464132,0.0
1611676800000,31750.24,32403.88,31300.69,32208.33,14712.052128,1611691199999,470545182.95498306,349228,8149.885145,260703546.15888113,0.0
1611691200000,32208.33,32921.88,31855.71,32467.77,10046.89176,1611705599999,324812638.733467,274872,5257.058002,170010834.07816833,0.0
1611705600000,32464.01,32557.29,31568.28,31800.86,10374.370726,1611719999999,332888551.9507371,232857,4945.236418,158698661.03009358,0.0
1611720000000,31801.27,32030.28,31350.0,31743.33,8094.668192,1611734399999,256235359.80952227,222722,4174.644716,132151881.99819295,0.0
1611734400000,31743.33,31749.28,30578.94,30639.05,16124.251288,1611748799999,503055674.85449266,336356,7579.811609,236605639.97891504,0.0
